therapy	TCGA-CESC	TCGA-HNSC	TCGA-LUSC	TCGA-BRCA	TCGA-ACC	TCGA-BLCA	TCGA-CHOL	TCGA-COAD	TCGA-DLBC	TCGA-ESCA	TCGA-GBM	TCGA-KICH	TCGA-KIRC	TCGA-KIRP	TCGA-LGG	TCGA-LIHC	TCGA-LUAD	TCGA-MESO	TCGA-OV	TCGA-PAAD	TCGA-PRAD	TCGA-READ	TCGA-SARC	TCGA-SKCM	TCGA-STAD	TCGA-TGCT	TCGA-THCA	TCGA-THYM	TCGA-UCEC	TCGA-UCS	TCGA-UVM
adriamycin,arimidex,cyclophosphamide,paclitaxel				1																											
adriamycin,arimidex,cyotxan				1																											
adriamycin,arimidex,cytoxan				1																											
adriamycin,arimidex,cytoxan,docetaxel,e-75,paclitaxel				1																											
adriamycin,arimidex,cytoxan,docetaxel,femara,tamoxifen				1																											
adriamycin,arimidex,cytoxan,docetaxel,herceptin				1																											
adriamycin,arimidex,cytoxan,docetaxel,herceptin,paclitaxel				1																											
adriamycin,arimidex,cytoxan,docetaxel,tamoxifen				1																											
adriamycin,arimidex,cytoxan,docetaxel,xeloda				1																											
adriamycin,arimidex,cytoxan,femara,paclitaxel				1																											
adriamycin,arimidex,cytoxan,goserelin,herceptin,paclitaxel,tamoxifen				1																											
adriamycin,arimidex,cytoxan,herceptin				1																											
adriamycin,arimidex,cytoxan,herceptin,paclitaxel				1																											
[not-available],cytoxan,doxorubicin,paclitaxel,tamoxifen				1																											
[not-available],arimidex,cytoxan,docetaxel				1																											
arimidex,cytoxan,doxorubicin,neulasta,paclitaxel				1																											
[not-available],adriamycin,cytoxan,tamoxifen				1																											
5-flourouracil,cyclophosphamide,doxorubicin,tamoxifen				1																											
5-flourouracil,cyclophosphamide,epirubicin				1																											
5-fluorouracil				1				10		2										2		13			48						
5-fluorouracil,adriamycin,aromasin,cytoxan,docetaxel,herceptin,ixabepilone,lapatinib,letrozole,megace,methotrexate,paclitaxel,tamoxifen,vinblastine,vinorelbine,xeloda,yondelis				1																											
5-fluorouracil,adriamycin,cytoxan				1																											
5-fluorouracil,arimidex,cyclophosphamide,docetaxel,epirubicin,paclitaxel				1																											
5-fluorouracil,arimidex,cytoxan,docetaxel,epirubicin,xeloda				1																											
5-fluorouracil,arimidex,cytoxan,epirubicin				1																											
5-fluorouracil,aromasin,cyclophosphamide,docetaxel,epirubicin				1																											
5-fluorouracil,cyclophosphamide,docetaxel,epirubicin,nolvadex				1																											
5-fluorouracil,cyclophosphamide,docetaxel,epirubicin,paclitaxel				1																											
5-fluorouracil,cyclophosphamide,doxorubicin,leuprolide,tamoxifen				1																											
5-fluorouracil,cyclophosphamide,doxorubicin,mitomycin,tamoxifen,vinorelbine				1																											
5-fluorouracil,cyclophosphamide,doxorubicin,pamidronate,tamoxifen				1																											
5-fluorouracil,cyclophosphamide,epirubicin,femara,paclitaxel,tamoxifen				1																											
5-fluorouracil,cyclophosphamide,epirubicin,paclitaxel				1																											
5-fluorouracil,cyclophosphamide,letrozole-(femara),methotrexate				1																											
5-fluorouracil,cyclophosphamide,leuprorelin,methotrexate,tamoxifen,zoladex				1																											
5-fluorouracil,cyclophosphamide,methotrexate,pamidronate,vincristine				1																											
5-fluorouracil,cyclophosphamide,methotrexate,pamidronic-acid,tamoxifen,zoladex				1																											
5-fluorouracil,cyclophosphamide,methotrexate,tamoxifen,zoladex				1																											
5-fluorouracil,cyclophosphane,mitoxantrone,tamoxifen				1																											
5-fluorouracil,cytoxan,docetaxel,epirubicin				1																											
5-fluorouracil,cytoxan,epirubicin,paclitaxel,tamoxifen,trastuzumab				1																											
5-fluorouracil,tamoxiphene				1																											
adriamycin,arimidex,cytoxan,letrozole,paclitaxel,tamoxifen				1																											
adriamycin,arimidex,cytoxan,paclitaxel,tamoxifen				1																											
adriamycin,arimidex,cytoxan,paclitaxel,xeloda				1																											
adriamycin,aromasin,cytoxan,docetaxel,femara,tamoxifen				1																											
anastrozolum				1																											
arimidex,aromasin,carboplatin,docetaxel,herceptin				1																											
arimidex,aromasin,cyclophosphamide,doxorubicin,femara,fulvestrant,gemcitabine,paclitaxel,tamoxifen,tesetaxel,vinorelbine,xgeva				1																											
arimidex,aromasin,tamoxifen				1																											
arimidex,bevacizumab,carboplatin,paclitaxel,pemetrexed				1																											
arimidex,bevacizumab,cyclophosphamide,doxorubicin,paclitaxel				1																											
arimidex,bevacizumab,cytoxan,doxorubicin,paclitaxel,tamoxifen				1																											
arimidex,bevacizumab,docetaxel,ibandronate,tamoxifen,vinorelbine				1																											
arimidex,bevacizumab-(avastin),placebo-provided-by-study,cyclophosphamide,doxorubicin,paclitaxel				1																											
arimidex,carboplatin,docetaxel				1																											
arimidex,chemo,-nos				1																											
arimidex,cyclophosphamide,docetaxel,doxorubicin,paclitaxel				1																											
arimidex,cyclophosphamide,docetaxel,doxorubicin,tamoxifen				1																											
arimidex,cyclophosphamide,doxorubicin,everolimus,exemestane,faslodex,femara,paclitaxel,tamoxifen				1																											
arimidex,cyclophosphamide,doxorubicin,letrozole-(femara),paclitaxel				1																											
arimidex,cyclophosphamide,doxorubicin-hcl,paclitaxel				1																											
arimidex,cyclophosphamide,epirubicin,exemestane,zoledronic-acid				1																											
arimidex,cytoxan,docetaxel,doxorubicin,letrozole,paclitaxel				1																											
arimidex,cytoxan,docetaxel,doxorubicin,paclitaxel,trastuzumab				1																											
arimidex,cytoxan,docetaxel,exemestane				1																											
arimidex,cytoxan,docetaxel,letrozole,neulasta,trastuzumab				1																											
arimidex,cytoxan,docetaxel,neulasta				1																											
arimidex,cytoxan,docetaxel,tamoxifen				1																											
arimidex,cytoxan,doxorubicin,letrozole,paclitaxel				1																											
arimidex,cytoxan,doxorubicin,neulasta				1																											
anastrazole,cyclophosphamide,docetaxel				1																											
anastrazole,aromasin,tamoxifen				1																											
anastrazole				1																											
adriamycin,cyclophosphamide,paclitaxel,tamoxifen				1																											
adriamycin,avastin,cytoxan,docetaxel,paclitaxel,tamoxifen,vinorelbine,xeloda				1																											
adriamycin,avastin,cytoxan,paclitaxel				1																											
adriamycin,carboplatin,cyclophosphamide,denosumab,docetaxel,gemcitabine,paclitaxel				1																											
adriamycin,carboplatin,cytoxan,faslodex,gemcitabine,paclitaxel				1																											
adriamycin,carboplatin,cytoxan,gemcitabine,xeloda				1																											
adriamycin,cyclophosphamide,docetaxel				1																											
adriamycin,cyclophosphamide,docetaxel,femara				1																											
adriamycin,cyclophosphamide,docetaxel,paclitaxel				1																											
adriamycin,cyclophosphamide,herceptin,paclitaxel				1																											
adriamycin,cyclophosphamide,herceptin,paclitaxel,tamoxifen,triptorelin,zoledronic-acid				1																											
adriamycin,cyclophosphamide,paclitaxel				1																											
adriamycin,cytoxan,docetaxel,tamoxifen,zoladex				1																											
adrimycin,arimidex,cytoxan,docetaxel				1																											
adriamycin,cytoxan,faslodex,paclitaxel				1																											
adriamycin,cytoxan,letrozole,paclitaxel				1																											
adriamycin,cytoxan,neulasta,paclitaxel				1																											
adriamycin,cytoxan,neulasta,paclitaxel,tamoxifen				1																											
adriamycin,cytoxan,neulasta,paclitaxel,trastuzumab				1																											
adriamycin,cytoxan,paclitaxel,tamoxifen,trastuzumab				1																											
adriamycin,cytoxan,tamoxifen				1																											
adriamycin,cytoxen,docetaxel				1																											
adriamyicin,cyclophosphamide,paclitaxel,tamoxifen				1																											
adrimicin+cyclophosphamide				1																											
adrimycin+cyclophosphamide				1																											
zoladex				1																	3										
adriamycin,carboplatin,cisplatin,etoposide					1																										
avastin,carboplatin,cisplatin,doxorubicin,etoposide,mitotane,streptozocin					1																										
ketoconazole,sunitinib					1																										
sorafenib					1							1	1	1		13															
adriamycin,cisplatin,methotrexate,vinblastine						4																									
gemcitabine						4	4						1			2	1			64	1		2								
cisplatin,gemcitabine,paclitaxel						3																									
cisplatin,doxorubicin,methotrexate,vinblastine						3																									
bcg						3																									
gemcitabine,platinum						2																									
5-fluorouracil,carboplatin						1																									
cisplatin,gemcitabine,ifosfamide,paclitaxel						1																									
cisplatin,ifosfamide,paclitaxel						1																									
cisplatin,ifosfamide,mesna,paclitaxel						1																									
cisplatin,doxorubicin,gemcitabine,methotrexate,vinblastine						1																									
cisplatnin,gemcitabine						1																									
docetaxel,doxorubicin,halichondrin-b,ifosfamide,mesna						1																									
etoposide,paclitaxel						1																									
gemcitabine-and-cisplatin						1																									
cisplatin,doxorubicin,methotrexate,tarceva,vinblastine						1																									
cisplatin,doxorubicin,gemcitabine,ifosfamide,methotrexate,vinblastine						1																									
cisplatin,docetaxel-+,--zactima,gemcitabine,ifosfamide,paclitaxel						1																									
[not-available],cisplatin,docetaxel,gemcitabine						1																									
cddp,gemcitabine						1																									
carboplatin,etopside						1																									
carboplatin,doxorubicin,etoposide						1																									
bcg,cisplatin,gemcitabine,saha,vorinostat						1																									
bcg,-intravesicular,gemcitabine,platinol						1																									
bacillus-calmette-guerin-(bcg),doxobubicin						1																									
avastin,cisplatin,doxorubicin,methotrexate,vinblastine						1																									
adriamycin-(doxorubicin),cisplatin,gemcitabine,halichondrin,ifosfamide,paclitaxel,temsirolimus,vinorelbine						1																									
adriamycin,carboplatin,cisplatin,gemcitabine,methotrexate,vinblastine						1																									
[not-available],cisplatin,fosaprepitant,gemcitabine						1																									
ipilimumab,nivolumab						1																									
capecitabine,gemcitabine							1													1											
5-fluorouracil,leucovorin,oxaliplatin								31														13			4						
5-fluorouracil,folinic-acid,oxaliplatin								8														1									
5-fluorouracil,bevacizumab,oxaliplatin								3																							
folfox								3														2									
5-fluorouracil,leucovorin								3		1												1			9						
5-fluorouracil,erbitux,leucovorin,oxaliplatin								3																							
5-fluorouracil,avastin,irinotecan,leucovorin,oxaliplatin								2																							
capecitabine								2		9										1					3						
5-fluorouracil,bevacizumab,leucovorin,oxaliplatin								2																							
5-fluorouracil,leucovorin,oxaliplatin,pegfilgrastim								1																							
5-fluorouracil,leucovorin,oxaliplatin,xeloda								1														1			1						
5-fluorouracil,leucovorin-calcium								1		1										1											
5-fluorouracil,leucovorin-calcium,oxaliplatin								1														3									
5-fluorouracil,leucovorin-calcium,oxaliplatin,pegfilgrastim								1														1									
avastin,folinic-acid,leucovorin								1																							
c1-folfiri,zaltrap,erbitux,folfiri,avastin,folfox								1																							
5-fluorouracil,avastin,erbitux,irinotecan,leucovorin,oxaliplatin,study-drug-amg-655								1																							
5-fluorouracil,avastin,bevacizumab,capecitabine,leucovorin-calcium,oxaliplatin,regorafenib								1																							
capecitabine,oxaliplatin,raltitrexed								1																							
erbitux,irinotecan								1																							
floxuridine,irinotecan-hcl,oxaliplatin								1																							
folfiri,mayo-425-20								1																							
5-fluorouracil,avastin,bevacizumab,camptosar,capecitabine,irinotecan,leucovorin,mitomycin,oxaliplatin								1																							
oxaliplatin								1																							
capecitabine,oxaliplatin								1																							
5-fluorouracil,avastin,bevacizumab,erbitux,irinotecan,leucovorin,oxaliplatin,xeloda								1																							
5-fluorouracil,avastin,bevacizumab,erbitux,irinotecan,leucovorin,oxaliplatin								1																							
5-fluorouracil,bevacizumab,oxaliplatin,xeloda								1																							
5-fluorouracil,bevacizumab,capecitabine,oxaliplatin								1																							
5-fluorouracil,bevacizumab,erbitux,floxuridine,irinotecan-hcl,leucovorin,leucovorin-calcium,oxaliplatin								1																							
5-fluorouracil,bevacizumab,erbitux,irinotecan,leucovorin,oxaliplatin								1																							
5-fluorouracil,bevacizumab,irinotecan,leucovorin,oxaliplatin								1																							
5-fluorouracil,bevacizumab,leucovorin,oxaliplatin,xeloda								1																							
5-fluorouracil,avastin,erbitux,irinotecan,leucovorin,oxaliplatin								1																							
5-fluorouracil,capecitabine,erbitux,folinic-acid,irinotecan,oxaliplatin								1																							
5-fluorouracil,folfox,leucovorin,oxaliplatin								1																							
5-fluorouracil,cpt-11,leucovorin								1																							
5-fluorouracil,dexamethasone,floxuridine,irinotecan-hcl,leucovorin,oxaliplatin								1																							
5-fluorouracil,erbitux,floxuridine,irinotecan-hcl,leucovorin-calcium,oxaliplatin,pegfilgrastim								1																							
5-fluorouracil,avastin,camptosar,folinic-acid								1																							
5-fluorouracil,filgrastim-(g-csf),leucovorin,oxaliplatin,pegfilgrastim-(peg-g-csf)								1																							
5-fluorouracil,folfiri								1																							
5--fu,5-fluorouracil,leucovorin,oxaliplatin								1																							
ciclofosfamida,doxorubicina,prednisona,rituximab,vincristina									7																						
cyclophosphamide,doxorubicin,prednisone,rituximab,vincristine									4																						
adriamycin,cyclophosphamide,prednisone,vincristine									3																						
chop,rituximab									3																						
epoch,rituximab									2																						
cyclophosphamide,hydroxydaunomycin,methotrexate,oncovin,prednisolone,rituximab									2																						
ciclofosfamida,prednisona,rituximab,vincristina									1																						
cyclophosphamide,hydroxydaunomycin,oncovin,prednisolone,rituximab,vincristine									1																						
cyclophosphamide,hydroxydaunomycin,oncovin,prednisolone,rituximab									1																						
cyclophosphamide,doxorubicin,vinblastine									1																						
cyclophosphamide,doxorubicin,rituximab,vincristine									1																						
cyclophosphamide,doxorubicin,predisone,rituximab,vincristine									1																						
cyclophosphamide,doxorubicin,intrathecal-methotrexate,prednisone,rituximab,vincristine									1																						
cvad,ice,o-ice,ofatumumab									1																						
cisplatin,cyclophosphamide,cytarabine,dexamethasone,doxorubicin,rituximab,vincristine									1																						
[not-available],ciclofosfamida,cisplatim,doxorubicina,etoposide,metilprednisona,prednisona,rituximab,vincristina									1																						
adriamycin,carboplatin,cyclophosphamide,dexamethasone,high-dose-ara-c,prednisone,rituxan,vincristine									1																						
ciclofosfamida,doxorubicina,intrathecal-methotrexate,prednisona,rituximab,vincristina									1																						
chop,epoch,rituximab									1																						
bortezomib,carboplatin,cyclophosphamide,cytarabine,decadron,dexamethasone,doxorubicin,gemcitabine,revlimid,rituximab,vincristine,vinorelbine									1																						
bleomycin,cytoxan,il-2,prednisone,thiotepa,vincristine,vp-16									1																						
bleomycin,cyclophosphamide,doxorubicin,etoposide,vincristine									1																						
