	TCGA-CESC	TCGA-HNSC	TCGA-LUSC	TCGA-ESCA	TCGA-BRCA	TCGA-GBM	TCGA-OV	TCGA-LUAD	TCGA-UCEC	TCGA-KIRC	TCGA-LGG	TCGA-THCA	TCGA-PRAD	TCGA-SKCM	TCGA-COAD	TCGA-STAD	TCGA-BLCA	TCGA-LIHC	TCGA-KIRP	TCGA-SARC	TCGA-PAAD	TCGA-PCPG	TCGA-READ	TCGA-TGCT	TCGA-THYM	TCGA-KICH	TCGA-ACC	TCGA-MESO	TCGA-UVM	TCGA-DLBC	TCGA-UCS	TCGA-CHOL
5-fluorouracil,carboplatin,cisplatin,paclitaxel	1.0																															
[unknown]		5.0															1.0			1.0	1.0		1.0									
cisplatin,vectibix		5.0																														
cisplatin,erbitux		4.0																														
carboplatin,erbitux,paclitaxel		4.0					2.0																									
carboplatin,cisplatin,erbitux,paclitaxel		3.0					1.0																									
carboplatin,cisplatin		2.0																														
docetaxel,erbitux		2.0																														
5-fluorouracil,carboplatin,cisplatin,docetaxel,erbitux,paclitaxel		1.0																														
cisplatin,hsc vaccine injection,vorinostat,xeloda		1.0																														
erbitux,everolimus		1.0																														
cisplatin,erbitux,paclitaxel		1.0																														
cisplatin,docetaxel		1.0	11.0				1.0	8.0																								
at-101,carboplatin,docetaxel,erbitux		1.0																														
docetaxel,erbitux,px-866		1.0																														
carboplatin,lapatinib,paclitaxel		1.0																														
carboplatin,gemcitabine,methotrexate		1.0																														
carboplatin,cisplatin,pemetrexed		1.0						6.0																				1.0				
5-fluorouracil,carboplatin,erbitux,paclitaxel		1.0																														
carboplatin,docetaxel,erbitux,methotrexate,paclitaxel		1.0																														
cisplatin,docetaxel,xeloda		1.0																														
carboplatin,cisplatin,xeloda,zometa		1.0																														
carboplatin,irinotecan,paclitaxel		1.0																														
carboplatin,cisplatin,vectibix		1.0																														
carboplatin,erbitux,pemetrexed		1.0																														
methotrexate		1.0																														
5-fluorouracil,cisplatin,docetaxel		1.0														1.0																
carboplatin,cisplatin,docetaxel,rigosertib		1.0																														
cisplatin,erbitux,eribulin		1.0																														
erbitux,paclitaxel		1.0																														
bevacizumab,carboplatin,cisplatin,docetaxel,imc-a12,oxaliplatin,paclitaxel,pemetrexed		1.0																														
5-fluorouracil,carboplatin,docetaxel,paclitaxel		1.0																														
carboplatin,iressa		1.0																														
[not available],carboplatin,erbitux,methotrexate,paclitaxel,pemetrexed,xeloda		1.0																														
carboplatin,docetaxel		1.0	3.0		2.0		16.0		4.0																							
cisplatin,docetaxel,gemcitabine,oxaliplatin		1.0															1.0															
carboplatin,cisplatin,erbitux		1.0																														
cisplatin,vinorelbine			23.0					13.0																								
carboplatin,vinorelbine			8.0					2.0																								
cisplatin,etoposide			6.0					9.0																4.0	3.0							
carboplatin,gemcitabine			5.0	1.0			3.0	2.0									15.0															
cisplatin,pemetrexed			3.0					16.0																				15.0				
cisplatin,docetaxel,gemcitabine			2.0														1.0															
carboplatin,docetaxel,paclitaxel			2.0				12.0		3.0																						2.0	
carboplatin,cisplatin,vinorelbine			2.0					1.0																								
gemcitabine			2.0					2.0		1.0			1.0				4.0	2.0		2.0	65.0											4.0
carboplatin,docetaxel,gemcitabine			2.0				1.0																									
carboplatin,gemcitabine,paclitaxel			2.0	1.0			9.0	2.0	1.0																							
carboplatin,cisplatin,docetaxel,erbitux,gemcitabine,paclitaxel,pemetrexed,vinorelbine			1.0																													
carboplatin,cisplatin,gemcitabine,paclitaxel,reolysin			1.0																													
recmage3-as+as15 asci/placebo vaccine			1.0																													
cisplatin,docetaxel,gemcitabine,vinorelbine			1.0																													
carboplatin,docetaxel,paclitaxel,tarceva			1.0																													
carboplatin,docetaxel,gemcitabine,pemetrexed,vinorelbine			1.0																													
azd6244,carboplatin,docetaxel,gemcitabine,mk2206,paclitaxel,tarceva,vinorelbine			1.0																													
adriamycin,carboplatin,cytoxan,etoposide (vp-16),topotecan,vincristine			1.0																													
carboplatin/paclitaxel			1.0						1.0																							
clinical trial,gemcitabine,rec mage3-as+as15 asci vs placebo			1.0																													
temodal			1.0											1.0																		
cisplatin,mithramycin,vincristine			1.0																													
carboplatin,cav trial,docetaxel,etoposide,irinotecan,vp-16			1.0																													
carboplatin,cisplatin,docetaxel,gemcitabine,tarceva,tl32711,vinorelbine			1.0																													
carboplatin,gemcitabine,iressa,paclitaxel,pemetrexed,ras inhibitor			1.0																													
carboplatin,cisplatin,etoposide,vinorelbine			1.0																													
cisplatin,docetaxel,etoposide,zoledronic acid			1.0																													
carboplatin,ccnu,cisplatin,cytoxan,doxorubicin,etoposide,vincristine			1.0																													
cisplatin,tarceva,vinorelbine			1.0																													
carboplatin,gemcitabine,vinorelbine			1.0																													
paclitaxel,tarceva			1.0																													
[not available],cisplatin,vinorelbine			1.0					1.0																								
carboplatin,cisplatin,gemcitabine			1.0														2.0		1.0									2.0				
docetaxel			1.0		2.0			1.0												1.0												
chemo, nos			1.0		1.0			3.0	1.0												2.0											
tarceva			1.0					7.0																								
carboplatin,docetaxel,gemcitabine,paclitaxel			1.0					1.0																							1.0	
eloxatin			1.0													1.0																
gemcitabine,tarceva,vinorelbine			1.0					1.0																								
carboplatin,etoposide			1.0					1.0																								
iressa placebo vs. drug			1.0																													
recprame+as15			1.0																													
carboplatin,cisplatin,docetaxel,erbitux,gemcitabine,paclitaxel,vinorelbine			1.0																													
cisplatin,etoposide,zoledronic acid			1.0																													
cisplatin/etoposide			1.0																													
docetaxel,gemcitabine			1.0																	14.0												
capecitabine,cisplatin				12.0																												
capecitabine				9.0											4.0	3.0					1.0											
5-fluorouracil				2.0	1.0										11.0	49.0					2.0		18.0									
5-fluorouracil,cisplatin,epirubicin				2.0												8.0																
etoposide				1.0												1.0																
5-fluorouracil,oxaliplatin				1.0																												
5-flourouracil,cisplatin,docetaxel,oxaliplatin				1.0																												
folfiri,folfox				1.0																												
capecitabine,cisplatin,paclitaxel				1.0												1.0																
carboplatin,paclitaxel,xeloda				1.0																												
5-fluorouracil,leucovorin calcium				1.0											1.0						1.0											
5-fluorouracil,leucovorin				1.0											3.0	11.0							1.0									
5-fluorouracil,docetaxel,oxaliplatin				1.0																												
arimidex					85.0				1.0																							
tamoxifen					58.0	1.0	1.0		1.0					1.0																		
cytoxan,docetaxel					27.0																											
adriamycin,cytoxan,paclitaxel					20.0																											
cyclophosphamide,doxorubicin,paclitaxel					18.0																											
arimidex,cyclophosphamide,doxorubicin,paclitaxel					11.0																											
adriamycin,cytoxan,docetaxel					11.0																											
adriamycin,cytoxan					11.0																											
arimidex,cytoxan,docetaxel					10.0																											
cyclophosphamide,doxorubicin					9.0																											
cyclophosphamide,doxorubicin,paclitaxel,tamoxifen					9.0																											
cytoxan,doxorubicin,paclitaxel					8.0																											
adriamycin+cyclophosphamide					8.0																											
letrozole					8.0																											
adriamycin,cytoxan,paclitaxel,tamoxifen					8.0																											
femara					7.0																											
5-fluorouracil,cyclophosphane,doxorubicin,tamoxifen					7.0																											
5-fluorouracil,cyclophosphamide,doxorubicin,tamoxifen					7.0																											
cyclophosphamide,docetaxel					7.0																											
cyclophosphamide,docetaxel,tamoxifen					6.0																											
arimidex,tamoxifen					6.0																											
adriamycin,arimidex,cytoxan,paclitaxel					5.0																											
5-fluorouracil,cyclophosphamide,docetaxel,epirubicin					5.0																											
cytoxan,doxorubicin					5.0																											
cytoxan,docetaxel,tamoxifen					5.0																											
arimidex,cyclophosphamide,docetaxel					5.0																											
adriamycin,cytoxan,docetaxel,tamoxifen					5.0																											
cytoxan,doxorubicin,paclitaxel,tamoxifen					5.0																											
5-fluorouracil,cyclophosphamide,epirubicin					4.0																											
cyclophosphamide,docetaxel,doxorubicin					4.0																											
5-fluorouracil,cyclophosphamide,methotrexate					4.0																											
cyclophosphamide,doxorubicin,tamoxifen					4.0																											
cytoxan,doxorubicin,letrozole,paclitaxel,tamoxifen					4.0																											
adriamycin,cyclophosphamide					4.0																											
5-fluorouracil,cyclophosphamide,methotrexate,tamoxifen					4.0																											
5-fluorouracil,arimidex,cyclophosphamide,methotrexate					4.0																											
adriamycin,arimidex,cytoxan					3.0																											
adriamycin,cytoxan,herceptin,paclitaxel					3.0																											
carboplatin,docetaxel,trastuzumab					3.0																											
5-fluorouracil,cyclophosphamide,docetaxel,epirubicin,exemestane					3.0																											
adriamycin,cytoxan,docetaxel,femara					3.0																											
5-flourouracil,cyclophosphamide,doxorubicin					3.0																											
cyclophosphamide,doxorubicin,paclitaxel,tamoxifen,trastuzumab					3.0																											
adriamycin,arimidex,cytoxan,docetaxel					3.0																											
5-flourouracil,cyclophosphamide,doxorubicin,paclitaxel					3.0																											
adriamycin,arimidex,cytoxan,tamoxifen					2.0																											
docetaxel,tamoxifen					2.0																											
5-flourouracil,cyclophosphamide,epirubicin					2.0																											
cyclophosphamide,doxorubicin,paclitaxel,trastuzumab					2.0																											
adriamycin,cytoxan,tamoxifen					2.0																											
carboplatin,docetaxel,herceptin					2.0																											
5-fluorouracil,cyclophosphamide,epirubicin,tamoxifen					2.0																											
adriamycin,cyclophosphamide,paclitaxel					2.0																											
arimidex,cytoxan,docetaxel,exemestane					2.0																											
[not available],tamoxifen					2.0																											
nolvadex					2.0																											
doxorubicine+cyclophosphamide,tamoxifen					2.0																											
cyclophosphamide,doxorubicine,tamoxifen					2.0																											
5-fluorouracil,cytoxan,epirubicin,paclitaxel					2.0																											
5-fluorouracil,cyclophosphane,doxorubicin					2.0																											
5-fluorouracil,cyclophosphamide,doxorubicin					2.0																1.0											
arimidex,carboplatin,docetaxel,trastuzumab					2.0																											
arimidex,cytoxan,doxorubicin,paclitaxel,tamoxifen					2.0																											
5-fluorouracil,arimidex,cytoxan,epirubicin,paclitaxel					2.0																											
cytoxan,doxorubicin,tamoxifen					2.0																											
exemestane					2.0																											
cyclophosphamide,doxorubicin,paclitaxel (protein-bound)					2.0																											
5-fluorouracil,adriamycin,cytoxan,paclitaxel					2.0																											
herceptin					2.0																											
arimidex,cytoxan,docetaxel,tamoxifen					2.0																											
adriamycin,cytoxan,femara,paclitaxel					2.0																											
arimidex,herceptin,paclitaxel					2.0																											
arimidex,cytoxan,doxorubicin,paclitaxel					2.0																											
letrozole,tamoxifen					2.0																											
5-fluorouracil,adriamycin,arimidex,cytoxan,paclitaxel,tamoxifen					2.0																											
5-fluorouracil,cytoxan,methotrexate					2.0																											
arimidex,cytoxan,doxorubicin					2.0																											
adriamycin,arimidex,cytoxan,paclitaxel,tamoxifen					2.0																											
herceptin,paclitaxel					2.0																											
arimidex,clodronate,cyclophosphamide,doxorubicin,paclitaxel					2.0																											
carboplatin,docetaxel,herceptin,tamoxifen					2.0																											
5-fluorouracil,cyclophosphamide,docetaxel,epirubicin,tamoxifen					2.0																											
aromasin					2.0																											
arimidex,carboplatin,docetaxel					1.0																											
adriamycin,cyclophosphamide,docetaxel,paclitaxel					1.0																											
arimidex,aromasin,tamoxifen					1.0																											
5-fluorouracil,cyclophosphamide,docetaxel,epirubicin,letrozole					1.0																											
5-fluorouracil,cytoxan,docetaxel,epirubicin					1.0																											
adriamycin,anastrazole,cyclophosphamide,paclitaxel,tamoxifen					1.0																											
adriamycin,cyclophosphamide,docetaxel,femara					1.0																											
adriamycin,arimidex,cytoxan,docetaxel,xeloda					1.0																											
adriamycin,arimidex,cytoxan,herceptin					1.0																											
cyclophosphamide,doxorubicin,paclitaxel,tamoxifen,trastuzumab,vinorelbine					1.0																											
tch					1.0																											
doxorubicin+cyclophosphamid					1.0																											
cyclophosphamide,docetaxel,doxorubicin,goserelin,tamoxifen					1.0																											
carboplatin,docetaxel,femara,herceptin					1.0																											
letrozol					1.0																											
adriamycin,arimidex,cytoxan,docetaxel,herceptin,lapatinib					1.0																											
cyclophosphamide,doxorubicin,paclitaxel,paclitaxel (protein-bound)					1.0																											
cyclophosphamide,docetaxel,doxorubicine,paclitaxel					1.0																											
adriamycin,arimidex,cyotxan					1.0																											
cyclophosphamide,doxorubicine					1.0																											
arimidex,cyclophosphamide,epirubicin,exemestane,zoledronic acid					1.0																											
tamoxifen,zoladex,zometa					1.0																											
adriamycin+cuclophosphamide					1.0																											
cyclophosphamide,doxil,doxorubicin,paclitaxel					1.0																											
arimidex,aromasin,cyclophosphamide,doxorubicin,femara,fulvestrant,gemcitabine,paclitaxel,tamoxifen,tesetaxel,vinorelbine,xgeva					1.0																											
5-fluorouracil,aromasin,cyclophosphamide,docetaxel,epirubicin					1.0																											
5-fluorouracil,cyclophosphamide,epirubicin,paclitaxel					1.0																											
cyclophosphamide,doxorubicin,lupron,paclitaxel,tamoxifen					1.0																											
tamoxiphene+anastrozolum					1.0																											
xeloda					1.0										11.0	5.0							4.0				1.0					
zoladex					1.0								3.0																			
adriamycin,cytoxan,neulasta,paclitaxel					1.0																											
lupron,tamoxifen,zoladex					1.0																											
5-flourouracil,cyclophosphamide,doxorubicin,tamoxifen					1.0																											
adriamycin,arimidex,cytoxan,denosumab,doxorubicin liposome,exemestane,fulvestrant,letrozole,paclitaxel,tamoxifen,zoledronic acid					1.0																											
arimidex,zometa					1.0																											
adriamycin,cytoxan,faslodex,paclitaxel					1.0																											
adriamycin,aromasin,cytoxan,docetaxel,femara,tamoxifen					1.0																											
arimidex,trastuzumab					1.0																											
adriamycin,arimidex,cytoxan,docetaxel,herceptin,paclitaxel					1.0																											
arimidex,cyclophosphamide,docetaxel,paclitaxel (protein-bound),trastuzumab					1.0																											
5-fluorouracil,cyclophosphamide,docetaxel,epirubicin,exemestane,letrozole					1.0																											
cytoxan,docetaxel,tamoxifen,zoladex					1.0																											
arimidex,chemo, nos					1.0																											
adriamycin,cytoxan,docetaxel,zometa					1.0																											
adriamycin,arimidex,cytoxan,docetaxel,femara,tamoxifen					1.0																											
5-fluorouracil,tamoxiphene					1.0																											
doxorubicin,tamoxifen					1.0																											
arimidex,doxorubicin,paclitaxel					1.0																											
5-fluorouracil,cyclophosphamide,docetaxel,doxorubicin,exemestane,trastuzumab					1.0																											
adriamycin,arimidex,cyclophosphamide,paclitaxel					1.0																											
cytoxan,doxorubicin,exemestane,paclitaxel,tamoxifen					1.0																											
cytoxan,doxorubicin,exemestane,paclitaxel,trastuzumab,triptorelin					1.0																											
arimidex,cytoxan,docetaxel,doxorubicin,letrozole,paclitaxel					1.0																											
adriamycin,cytoxan,neulasta,paclitaxel,tamoxifen					1.0																											
bevacizumab or placebo,cyclophosphamide,doxorubicin,paclitaxel					1.0																											
carboplatin,docetaxel,tamoxifen,trastuzumab					1.0																											
arimidex,exemestane					1.0																											
5-fluorouracil,cyclophosphamide,letrozole (femara),methotrexate					1.0																											
[not available],femara					1.0																											
aromasin,clodronate,cyclophosphamide,doxorubicin,paclitaxel,tamoxifen,trastuzumab					1.0																											
aromasin (exemestane),tamoxifen					1.0																											
5-fluorouracil,cyclophosphamide,docetaxel,epirubicin,nolvadex					1.0																											
arimidex,docetaxel,herceptin					1.0																											
bevacizumab,capecitabine,exemestane (aromasin),fulvestrant,letrozole (femara)					1.0																											
cyclophosphamide,doxorubicin,letrozole (femara),lupron,paclitaxel,tamoxifen (novadex)					1.0																											
tc					1.0																											
adriamycin,cyclophosphamide,herceptin,paclitaxel,tamoxifen,triptorelin,zoledronic acid					1.0																											
denosumab,paclitaxel					1.0																											
[not available],arimidex					1.0																											
5-fluorouracil,arimidex,cyclophosphamide,docetaxel,epirubicin					1.0																											
arimidex,bevacizumab (avastin)/placebo provided by study,cyclophosphamide,doxorubicin,paclitaxel					1.0																											
5-fluorouracil,arimidex,cytoxan,epirubicin					1.0																											
[not available],arimidex,cytoxan,docetaxel					1.0																											
arimidex,cyclophosphamide,docetaxel,zoledronic acid					1.0																											
arimidex,bevacizumab,cyclophosphamide,doxorubicin,paclitaxel					1.0																											
cyclophosphane,doxorubicin,letrozole,tamoxifen					1.0																											
arimidex,gemcitabine,tamoxifen,xeloda					1.0																											
arimidex,cyclophosphamide,docetaxel,doxorubicin					1.0																											
5-fluorouracil,cyclophosphamide,epirubicin,letrozole					1.0																											
5-fluorouracil,cyclophosphamide,doxorubicin,leuprolide,tamoxifen					1.0																											
arimidex,cytoxan,docetaxel,letrozole,neulasta,trastuzumab					1.0																											
cyclophosphamide,docetaxel,gemcitabine,herceptin					1.0																											
5-fluorouracil,adriamycin,cytoxan					1.0																											
arimidex,cyclophosphamide,doxorubicin,everolimus,exemestane,faslodex,femara,paclitaxel,tamoxifen					1.0																											
[unknown],aromasin					1.0																											
arimidex,cyclophosphamide,docetaxel,doxorubicin,tamoxifen					1.0																											
arimidex,bevacizumab,docetaxel,ibandronate,tamoxifen,vinorelbine					1.0																											
carboplatin,docetaxel,herceptin,paclitaxel					1.0																											
adriamycin,cytoxan,paclitaxel,tamoxifen,trastuzumab					1.0																											
avastin,cytoxan,doxorubicin,paclitaxel					1.0																											
[not available],exemestane					1.0																											
arimidex,aromasin,carboplatin,docetaxel,herceptin					1.0																											
[not available],arimidex,cytoxan,docetaxel,epirubicin,letrozole,xeloda					1.0																											
adriamycin,arimidex,cytoxan,docetaxel,e-75,paclitaxel					1.0																											
5-fluorouracil,adriamycin,aromasin,cytoxan,docetaxel,herceptin,ixabepilone,lapatinib,letrozole,megace,methotrexate,paclitaxel,tamoxifen,vinblastine,vinorelbine,xeloda,yondelis					1.0																											
adriamycin,avastin,cytoxan,docetaxel,paclitaxel,tamoxifen,vinorelbine,xeloda					1.0																											
arimidex,fulvestrant,xeloda,zometa					1.0																											
5-fluorouracil,cyclophosphamide,letrozole,methotrexate					1.0																											
arimidex,cyclophosphamide,doxorubicin,paclitaxel,tamoxifen					1.0																											
carboplatin,docetaxel,herceptin,trastuzumab					1.0																											
adriamycin,aloxi,cytoxan					1.0																											
ac,paclitaxel,tamoxifen					1.0																											
arimidex,carboplatin,paclitaxel					1.0																											
5-fluorouracil,arimidex,cytoxan,docetaxel,epirubicin,xeloda					1.0																											
arimidex,cyclophosphamide,docetaxel,doxorubicin,paclitaxel					1.0																											
adriamycin,arimidex,cytoxan,exemestane,gemcitabine,letrozole,paclitaxel,tamoxifen					1.0																											
adriamycin+cyclophosphamid,tamoxifen					1.0																											
cyclophosphamide,docetaxel,herceptin,letrozole					1.0																											
adriamycin,paclitaxel					1.0				1.0																							
albumin-bound paclitaxel,cyclophosphamide,doxorubicin,trastuzumab					1.0																											
doxorubicine+cyclophosphamide+tamoxifen,tamoxiphene+leuporeline+gosereline					1.0																											
adriamycin,arimidex,cytoxan,goserelin,herceptin,paclitaxel,tamoxifen					1.0																											
adriamycin,cytoxan,herceptin,paclitaxel,tamoxifen					1.0																											
[not available],adriamycin,cytoxan,tamoxifen					1.0																											
adriamycin,arimidex,cytoxan,docetaxel,tamoxifen					1.0																											
adriamycin,arimidex,cytoxan,herceptin,paclitaxel					1.0																											
arimidex,cyclophosphamide,doxorubicin					1.0																											
arimidex,cytoxan,docetaxel,neulasta					1.0																											
arimidex,not otherwise specified,trastuzumab					1.0																											
cyclophosphamide,doxorubicine,letrozolum					1.0																											
adriamycin,arimidex,bevacizumab,cytoxan,paclitaxel,tamoxifen					1.0																											
adriamycin,ae-37,cytoxan,herceptin,paclitaxel					1.0																											
cytoxan,docetaxel,paclitaxel,tamoxifen					1.0																											
cyclophosphane,doxorubicin					1.0																											
5-fluorouracil,cyclophosphamide,docetaxel,epirubicin,exemestane,trastuzumab					1.0																											
adriamycin,cytoxan,exemestane,letrozole,tamoxifen,xeloda					1.0																											
adriamycin,cytoxan,herceptin,paclitaxel,zometa					1.0																											
cyclophosphamide,docetaxel,doxorubicin,femara					1.0																											
cyclophosphamide,docetaxel,epirubicoin,tamoxifen,zoledronic acid					1.0																											
doxorubicine cyclophosphamide tamoxifen					1.0																											
cyclophosphamide,epirubicin,paclitaxel,tamoxifen					1.0																											
anastrazole,aromasin,tamoxifen					1.0																											
adriamycin,cytoxan,neulasta,paclitaxel,trastuzumab					1.0																											
5-fluorouracil,cyclophosphane,mitoxantrone,tamoxifen					1.0																											
cisplatin,cyclophosphamide,docetaxel,doxorubicin					1.0																											
anastrozolum					1.0																											
cyclophosphamide,doxorubicin,letrozole,paclitaxel,tamoxifen					1.0																											
adriamycin,cyclophosphamide,paclitaxel,tamoxifen					1.0																											
tamoxiphen+anastrazolum					1.0																											
adriamycin,cytoxan,docetaxel,tamoxifen,zoladex					1.0																											
5-fluorouracil,arimidex,cyclophosphamide,docetaxel,doxorubicin					1.0																											
aromatase exemestane					1.0																											
adriamycin,cytoxen,docetaxel					1.0																											
arimidex,aromasin					1.0																											
5-fluorouracil,cyclophosphamide,docetaxel,epirubicin,paclitaxel					1.0																											
avastin,clodronic acid,cyclophosphamide,doxorubicin,paclitaxel					1.0																											
e-75,exemestane,tamoxifen					1.0																											
carboplatin,ifosfamide,mesna-1,mesna-2,paclitaxel,vp-16					1.0																											
tamoxifen,zoladex					1.0																											
adriamycin,avastin,cytoxan,paclitaxel					1.0																											
adrimycin,arimidex,cytoxan,docetaxel					1.0																											
[not available],docetaxel,doxorubicin					1.0																											
aromasin,cyclophosphamide,doxorubicin,paclitaxel,tamoxifen					1.0																											
aromasin,carboplatin,docetaxel,paclitaxel,trastuzumab					1.0																											
doxorubicin+ cyclophosphamide					1.0																											
adriamycin,arimidex,cytoxan,docetaxel,herceptin					1.0																											
cytoxan,doxorubicin,exemestane,letrozole,paclitaxel,trastuzumab					1.0																											
5-fluorouracil,cyclophosphamide,doxorubicin,mitomycin,tamoxifen,vinorelbine					1.0																											
arimidex,cyclophosphamide,doxorubicin,lapatinib,paclitaxel					1.0																											
arimidex,cyclophosphamide,doxorubicin,letrozole (femara),paclitaxel					1.0																											
5-fluorouracil,cyclophosphamide,doxorubicin,pamidronate,tamoxifen					1.0																											
adriamycin,arimidex,cytoxan,letrozole,paclitaxel,tamoxifen					1.0																											
leuprolide acetate (lupron),paclitaxel,tamoxifen,zoledronic acid					1.0																											
cyclophosphamide,doxetaxel,doxorubicin,femara					1.0																											
doxorubicine+cyclophosphamide,tamoxiphene					1.0																											
adriamycin,arimidex,cytoxan,paclitaxel,xeloda					1.0																											
cytoxan,doxorubicin,paclitaxel,trastuzumab,trustuzumab					1.0																											
5-fluorouracil,cyclophosphamide,leuprorelin,methotrexate,tamoxifen,zoladex					1.0																											
5-fluorouracil,cyclophosphamide,methotrexate,tamoxifen,zoladex					1.0																											
carboplatin,cytoxan,docetaxel,herceptin					1.0																											
5-fluorouracil,cyclophosphamide,epirubicin,letrozole,tamoxifen,trastuzumab					1.0																											
adriamycin,arimidex,cytoxan,herceptin,paclitaxel,tamoxifen,zometa					1.0																											
arimidex,aromasin,femara					1.0																											
bevacizumab,cyclophosphamide,doxorubicin,goserelin,paclitaxel,tamoxifen					1.0																											
carboplatin,docetaxel,tamoxifen citrate,trastuzumab					1.0																											
arimidex,cyclophosphamide,doxorubicin hcl,paclitaxel					1.0																											
adriamycin,ae-37,arimidex,cytoxan					1.0																											
doxorubicine+cyclophosphamide+tamoxifen					1.0																											
adrimicin+cyclophosphamide					1.0																											
cyclophosphamide,doxorubicin,paclitaxel,zoledronic acid					1.0																											
femara (letrozole),fulvestrant (faslodex),xeloda (capecitabine),zoledronic acid					1.0																											
cyclophosphamide,doxorubicin,letrozole,prednisone,rituximab,vincristine					1.0																											
doxorubicine+cyclophosphamide,paclitaxelum					1.0																											
arimidex,cytoxan,doxorubicin,taxane					1.0																											
5-fluorouracil,arimidex,cyclophosphamide,docetaxel,epirubicin,paclitaxel					1.0																											
anastrazole					1.0																											
arimidex,aromasin (exemestane),cyclophosphamide,docetaxel,doxorubicin,paclitaxel,tamoxifen,zoledronic acid					1.0																											
adriamycin,arimidex,cytoxan,gemcitabine,paclitaxel,tamoxifen,zometa					1.0																											
5-fluorouracil,cyclophosphamide,methotrexate,pamidronic acid,tamoxifen,zoladex					1.0																											
arimidex,cytoxan,doxorubicin,neulasta,paclitaxel					1.0																											
adriamycin,arimidex,cytoxan,femara,paclitaxel					1.0																											
cyclophosphamide,doxorubicin,femara,paclitaxel					1.0																											
arimidex,cytoxan,docetaxel,doxorubicin,paclitaxel,trastuzumab					1.0																											
adrimycin+cyclophosphamide					1.0																											
arimidex,cytoxan,doxorubicin,letrozole,paclitaxel					1.0																											
arimidex,bevacizumab,cytoxan,doxorubicin,paclitaxel,tamoxifen					1.0																											
adriamycin,cytoxan,letrozole,paclitaxel					1.0																											
adriamycin, cytoxan, avastin,arimidex,aromasin,avastin,bevacizumab,cyclophosphamide,doxorubicin,paclitaxel,tamoxifen					1.0																											
5-fluorouracil,arimidex,cyclophosphamide,methotrexate,tamoxifen					1.0																											
adriamycin,arimidex,aromasin,cytoxan,femara,paclitaxel,tamoxifen					1.0																											
adriamicin,cyclophosphamid					1.0																											
cytoxan,paclitaxel,tamoxifen					1.0																											
trastuzumab					1.0																											
cytoxan,docetaxel,zoladex					1.0																											
carboplatin,docetaxel,fareston,tamoxifen,trastuzumab,zoledronic acid					1.0																											
exemestane,paclitaxel					1.0																											
cytoxan,docetaxel,herceptin					1.0																											
arimidex,bevacizumab,carboplatin,paclitaxel,pemetrexed					1.0																											
cytoxan,docetaxel,methotrexate					1.0																											
aromasin,tamoxifen					1.0																											
zoledronic acid					1.0																											
adriamycin,carboplatin,cytoxan,faslodex,gemcitabine,paclitaxel					1.0																											
anastrazole,cyclophosphamide,docetaxel					1.0																											
adriamycin,capecetabine,cytoxan,docetaxel,tamoxifen,zometa					1.0																											
arimidex,cytoxan,doxorubicin,paclitaxel,trastuzumab,trustuzumab					1.0																											
arimidex,paclitaxel					1.0																											
arimidex,exemestane,tamoxifen					1.0																											
cyclophosphamide,doxorubicin,herceptin,metformin,trastuzumab					1.0																											
ac,herceptin,paclitaxel					1.0																											
